industry,company,city,state,country,lat,lng,mat_paid,mat_unpaid,pat_paid,pat_unpaid,rating,treatedFairly,wouldRecommend,match401k,childcare,flextime,healthcare,vacationAllowance,balance,culture,flexibility,hours,policies
Technology,SS&C Technologies,Windsor,Connecticut,USA,41.8525984,-72.6437022,0,12,-5,-5,1,0,100,FALSE,null,null,FALSE,,,,2,4,
Government,City of Houston,Houston,Texas,USA,29.7604267,-95.3698028,-5,12,0,-5,1,0,100,null,null,null,null,0 ,,,1,3,
Retail,Jill Acquisition LLC,Quincy,Massachusetts,USA,42.2528772,-71.0022705,12,-5,-5,-5,1,50,100,null,null,null,null,12,50,50,2,3,0
Media,VICE Media,Brooklyn,New York,USA,40.6781784,-73.9441579,12,-5,-5,-5,1.3,0,33,FALSE,null,null,TRUE,2,0,0,2,3,0
Information Services,Bloomberg Law,Arlington,Virginia,USA,38.8816208,-77.0909809,3,-5,-5,-5,1.3,0,100,null,null,null,null,3,16,16,,null,16
Retail,Robert Graham,New York,New York,USA,40.7127753,-74.0059728,0,12,-5,-5,1.3,0,100,null,null,TRUE,null,,27,27,,null,27
Nonprofit,Management Sciences for Health,Arlington,Virginia,USA,38.8816208,-77.0909809,-5,12,-5,-5,1.5,50,50,FALSE,FALSE,FALSE,FALSE,4,0,0,2,3,0
Advertising and Creative Services,Russ Reid,Pasadena,California,USA,34.1477849,-118.1445155,0,12,-5,-5,1.5,0,50,TRUE,FALSE,FALSE,FALSE,,0,50,4,3,50
Colleges & Universities,University of Florida,Gainesville,Florida,USA,29.6516344,-82.3248262,6,18,-5,-5,1.5,100,50,FALSE,null,null,TRUE,,20,20,,null,20
Government,Centers for Disease Control & Prevention,Atlanta,Georgia,USA,33.7489954,-84.3879824,0,12,-5,-5,1.5,0,100,null,null,null,null,,26,26,,null,26
Legal Services,LeClairRyan,Richmond,Virginia,USA,37.5407246,-77.4360481,11,2,-5,-5,1.5,100,100,null,null,null,null,,34,34,,null,34
"Defense, Air, & Space",General Atomics,San Diego,California,USA,32.715738,-117.1610838,12,0,-5,-5,1.5,0,50,null,null,null,null,,50,0,2,3,0
Technology,WebMD,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,1.7,33,67,null,null,null,null,,0,50,3,4,0
Financial Services,Lincoln Financial Group,Radnor,Pennsylvania,USA,40.043912,-75.3754599,9,-5,1,-5,1.7,0,33,null,null,null,null,4,0,33,2,3,0
Telecommunications,"Motorola Solutions, Inc.",Chicago,Illinois,USA,41.8781136,-87.6297982,6,-5,-5,-5,1.7,0,33,null,null,null,null,4,23,23,,null,23
Advertising and Creative Services,OutboundEngine,Austin,Texas,USA,30.267153,-97.7430608,7,4,-5,-5,1.7,0,33,null,null,FALSE,null,,50,0,1,3,50
Technology,Blackboard Inc.,Hillside,New Jersey,USA,40.6955044,-74.2287333,8,-5,-5,-5,1.7,67,33,TRUE,null,null,FALSE,3,100,0,2,4,0
Financial Services,Santander,Dallas,Texas,USA,32.7766642,-96.7969879,6,6,-5,-5,1.7,0,33,TRUE,null,null,TRUE,,,,2,3,
Colleges & Universities,Penn State University,State College,Pennsylvania,USA,40.7933949,-77.8600012,6,6,0,-5,1.8,75,25,null,TRUE,null,null,,0,50,4,3,50
Consulting Services,Capgemini,Atlanta,Georgia,USA,33.7489954,-84.3879824,3,0,-5,-5,2,75,50,TRUE,null,TRUE,TRUE,,0,75,3,4,50
Technology,ON Semiconductor,Phoenix,Arizona,USA,33.4483771,-112.0740373,-5,12,-5,-5,2,0,100,TRUE,null,null,FALSE,3,0,0,2,4,0
Insurance,AXA,Chicago,Illinois,USA,41.8781136,-87.6297982,16,-5,4,-5,2,0,50,null,null,null,null,,0,50,4,3,100
Legal Services,"Haynes and Boone, LLP",New York,New York,USA,40.7127753,-74.0059728,12,0,-5,-5,2,0,50,null,FALSE,FALSE,FALSE,,0,0,3,3,100
Retail,"Ingles Markets, Inc.",Hull,Georgia,USA,34.0148352,-83.2937659,-5,12,-5,-5,2,50,100,null,null,null,null,12,0,50,2,3,0
Media,"F+W Media, Inc.",Blue Ash,Ohio,USA,39.2320029,-84.3782734,0,12,-5,-5,2,50,50,null,null,TRUE,null,,0,50,3,3,50
Pharmaceutical,Perrigo,Allegan,Michigan,USA,42.5291989,-85.8553031,6,6,-5,-5,2,100,50,null,null,null,null,,0,50,4,3,0
Legal Services,Vinson & Elkins LLP,Houston,Texas,USA,29.7604267,-95.3698028,12,12,-5,-5,2,100,100,null,null,null,null,,0,100,4,3,100
Healthcare,ZocDoc,New York,New York,USA,40.7127753,-74.0059728,-5,7,-5,-5,2,0,100,null,null,null,null,26,0,0,3,3,0
Legal Services,Linklaters LLP,London,,United Kingdom,51.5073509,-0.1277583,18,-5,-5,-5,2,0,100,null,null,null,null,4,0,0,3,3,100
Healthcare,Banner Health,Phoenix,Arizon,USA,33.4483771,-112.0740373,-5,12,-5,-5,2,0,100,null,null,null,null,4,0,100,3,3,100
Real Estate,Forest City,Forest City,Iowa,USA,43.2624685,-93.6371937,-5,12,-5,-5,2,100,100,null,null,null,null,12,0,100,3,3,0
Technology,Travelzoo,New York,New York,USA,40.7127753,-74.0059728,11,-5,-5,-5,2,100,100,null,null,TRUE,TRUE,11,0,0,3,4,0
Financial Services,BMO Harris Bank,Indianapolis,Indiana,USA,39.768403,-86.158068,9,9,-5,-5,2,100,100,TRUE,null,null,TRUE,,0,0,4,3,100
Technology,Socrata,Seattle,Washington,USA,47.6062095,-122.3320708,3,12,3,12,2,0,50,FALSE,null,null,FALSE,,0,0,3,4,0
Technology,BMC Software Inc.,Houston,Texas,USA,29.7604267,-95.3698028,6,-5,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,3,15,15,,null,15
Technology,Solstice Mobile,Chicago,Illinois,USA,41.8781136,-87.6297982,6,-5,-5,-5,2,0,100,TRUE,null,null,FALSE,6,15,15,,null,15
Technology,Yammer,San Francisco,California,USA,37.7749295,-122.4194155,20,0,-5,-5,2,0,100,null,null,null,null,,15,15,,null,15
Technology,Active Network,Dallas,Texas,USA,32.7766642,-96.7969879,0,12,-5,-5,2,100,100,null,null,null,null,,15,15,,null,15
Technology,Olark,Ann Arbor,Michigan,USA,42.2808256,-83.7430378,12,-5,-5,-5,2,0,100,null,null,TRUE,null,12,15,15,,null,15
Technology,LeadPages,Minneapolis,Minnesota,USA,44.977753,-93.2650108,2,0,-5,-5,2,0,100,null,null,FALSE,null,,15,15,,null,15
Technology,GasPedal,Austin,Texas,USA,30.267153,-97.7430608,12,-5,-5,-5,2,0,100,null,null,FALSE,null,12,15,15,,null,15
Technology,"Axioma, Inc.",New York,New York,USA,40.7127753,-74.0059728,1,-5,-5,-5,2,0,100,null,null,TRUE,null,1,15,15,,null,15
Technology,Github,San Francisco,California,USA,37.7749295,-122.4194155,16,0,-5,-5,2,0,100,null,null,null,null,,15,15,,null,15
Technology,"Micron Technology, Inc.",Boise,Idaho,USA,43.6187102,-116.2146068,-5,12,-5,-5,2,0,100,null,null,null,null,3,15,15,,null,15
Advertising and Creative Services,Daggerwing Group Inc.,New York,New York,USA,40.7127753,-74.0059728,-5,11,1,-5,2,0,100,null,null,TRUE,null,,16,16,,null,16
Advertising and Creative Services,Dstillery,New York,New York,USA,40.7127753,-74.0059728,6,-5,-5,-5,2,0,100,null,null,null,null,52,16,16,,null,16
Information Services,SiteHawk,Reston,Virginia,USA,38.9586307,-77.3570028,6,-5,-5,-5,2,100,100,null,null,TRUE,null,6,16,16,,null,16
Other,Veolia,Paris,,France,48.856614,2.3522219,6,-5,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,2,19,19,,null,19
Electronics,"Arrow Electronics, Inc.",Centennial,Colorado,USA,39.5807452,-104.8771726,5,2,2,8,2,0,100,null,null,null,null,3,19,19,,null,19
Pharmaceutical,WIL Research,Ashland,Ohio,USA,40.8686675,-82.3182178,8,8,-5,-5,2,0,100,null,null,null,null,,20,20,,null,20
Colleges & Universities,Mount San Jacinto College,San Jacinto,California,USA,33.7839084,-116.958635,5,6,-5,-5,2,0,100,null,null,null,FALSE,,20,20,,null,20
Colleges & Universities,University of Dubuque,Dubuque,Iowa,USA,42.5005583,-90.6645718,0,12,-5,-5,2,0,100,null,null,TRUE,null,,20,20,,null,20
Financial Services,Scottrade,Hickory,North Carolina,USA,35.7344538,-81.3444573,6,6,2,-5,2,0,100,TRUE,null,TRUE,TRUE,,21,21,,null,21
Financial Services,Ocwen,Atlanta,Georgia,USA,33.7489954,-84.3879824,6,6,-5,-5,2,0,50,TRUE,null,TRUE,TRUE,,21,21,,null,21
Financial Services,"Thompson, Siegel and Walmsley",Richmond,Virginia,USA,37.5407246,-77.4360481,8,0,-5,-5,2,0,100,null,null,TRUE,null,,21,21,,null,21
Hospitality,Burger King,Barlesville,Oklahoma,USA,36.7473114,-95.9808179,6,10,-5,-5,2,0,100,null,null,null,null,,21,21,,null,21
Healthcare,Loyola University Health System,Maywood,Illinois,USA,41.8791979,-87.8431155,6,6,-5,-5,2,100,100,TRUE,null,null,TRUE,,24,24,,null,24
Healthcare,Lahey Health,Burlington,Massachusetts,USA,42.5047161,-71.1956205,0,12,-5,-5,2,0,50,null,null,null,TRUE,,24,24,,null,24
Healthcare,March Vision Care,Los Angeles,California,USA,34.0522342,-118.2436849,-5,12,-5,-5,2,100,100,null,null,TRUE,null,12,24,24,,null,24
Transportation,Rent-A-Center,Plano,Texas,USA,33.0198431,-96.6988856,-5,12,-5,-5,2,50,100,TRUE,null,FALSE,TRUE,2,25,25,,null,25
Nonprofit,Turnaround for Children,New York,New York,USA,40.7127753,-74.0059728,0,12,-5,-5,2,50,100,TRUE,TRUE,TRUE,TRUE,,25,25,,null,25
Industrial,Applied Research Associates,Albuquerque,New Mexico,USA,35.0853336,-106.6055534,11,17,-5,-5,2,0,100,null,null,null,FALSE,,25,25,,null,25
Industrial,Blusky Restoration Contractors,Denver,Colorado,USA,39.7392358,-104.990251,-5,12,-5,-5,2,0,100,null,null,TRUE,null,3,25,25,,null,25
Industrial,Chicago Bridge & Iron,Chicago,Illinois,USA,41.8781136,-87.6297982,0,12,-5,-5,2,0,50,null,null,null,null,,25,25,,null,25
Technology,Foursquare,New York,New York,USA,40.7127753,-74.0059728,8,4,6,0,2,0,25,null,null,FALSE,null,,25,25,4,4,50
Business Services,Emerald Expositions,San Juan Capistrano,California,USA,33.5019027,-117.6627655,6,6,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,,26,26,,null,26
Business Services,Broadridge Financial Solutions Group,Lake Success,New York,USA,40.7706572,-73.7176312,10,12,-5,-5,2,0,100,null,null,null,null,,26,26,,null,26
Retail,"Babies""R""Us",Wayne,New Jersey,USA,40.9253725,-74.2765441,0,12,-5,-5,2,,,TRUE,null,null,TRUE,,27,27,,null,27
Retail,Ahold,Zaandam,,Netherlands,52.4420399,4.8291993,0,8,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,,27,27,,null,27
Transportation,J.B. Hunt Transport inc,Lowell,Arizona,USA,31.4278776,-109.8936853,6,6,-5,-5,2,0,100,TRUE,null,null,FALSE,,27,27,,null,27
Retail,"Jockey International, Inc.",Kenosha,Wisconsin,USA,42.5847425,-87.8211854,12,-5,-5,-5,2,0,100,null,null,TRUE,null,12,27,27,,null,27
Retail,ASICS,Irvine,California,USA,33.6845673,-117.8265049,0,17,-5,-5,2,0,100,null,null,TRUE,null,,27,27,,null,27
Natural Resources,Univar,Downers Grove,Illinois,USA,41.8089191,-88.0111746,0,12,-5,-5,2,,,TRUE,null,null,TRUE,,28,28,,null,28
Natural Resources,ONEOK,Medford,Oklahoma,USA,36.8069729,-97.7336636,6,6,2,10,2,0,100,null,null,null,null,,28,28,,null,28
Retail,"BAUER Hockey, Inc",Exeter,New Hampshire,USA,42.9814292,-70.9477546,-5,2,-5,-5,2,0,100,TRUE,TRUE,TRUE,TRUE,2,31,31,,null,31
Legal Services,Greenberg Traurig LLP,Miami,Florida,USA,25.7616798,-80.1917902,12,-5,-5,-5,2,,,null,null,null,null,12,32,32,,null,32
Legal Services,"Wachtell, Lipton, Rosen & Katz",New York,New York,USA,40.7127753,-74.0059728,16,-5,-5,-5,2,100,100,null,null,FALSE,null,4,32,32,,null,32
Legal Services,Finnegan LLP,Washington,DC,USA,38.9071923,-77.0368707,15,-5,9,-5,2,100,100,TRUE,null,null,TRUE,52,34,34,,null,34
Legal Services,Lawrence & Russell PLC,Memphis,Tennessee,USA,35.1495343,-90.0489801,0,8,-5,-5,2,0,100,null,null,null,null,,34,34,,null,34
Lifestyle,Raining Rose,Cedar Rapids,Iowa,USA,41.9778795,-91.6656232,6,-5,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,2,39,39,,null,39
Nonprofit,American Management Association,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,2,50,50,TRUE,null,TRUE,TRUE,,100,0,3,3,0
Colleges & Universities,Duke Clinical Research Institute,Durham,North Carolina,USA,35.9940329,-78.898619,3,-5,-5,-5,2,50,100,null,null,null,TRUE,3,100,100,3,3,0
Natural Resources,DTE Energy Company,Detroit,Michigan,USA,42.331427,-83.0457538,6,12,0,12,2,100,100,null,FALSE,null,null,,100,0,2,3,0
Advertising and Creative Services,Carat,New York,New York,USA,40.7127753,-74.0059728,-5,-5,2,-5,2,50,50,TRUE,null,TRUE,TRUE,3,100,50,3,3,0
Educational Services,Kaplan International,New York,New York,USA,40.7127753,-74.0059728,6,6,-5,-5,2,0,100,null,null,TRUE,null,,,,2,3,
Insurance,Centene Corporation,St Louis,Missouri,USA,38.6270025,-90.1994042,6,6,-5,-5,2,50,50,TRUE,null,null,FALSE,,,,1,3,
Retail,Burlington Coat Factory Warehouse Corpor...,Burlington,New Jersey,USA,40.071222,-74.8648873,-5,-5,-5,1,2,50,100,null,null,null,null,1,27,27,,null,27
Insurance,Esurance Insurance,San Francisco,California,USA,37.7749295,-122.4194155,0,12,-5,-5,2,0,100,null,null,null,null,,100,0,2,3,0
Retail,Pet Supplies Plus,Livonia,Michigan,USA,42.36837,-83.3527097,0,12,-5,-5,2,0,100,TRUE,null,TRUE,TRUE,,27,27,,null,27
Financial Services,Deutsche Bank,Frankfurt,,Germany,50.1109221,8.6821267,16,-5,2,-5,2.1,21,7,null,null,null,null,4,0,25,2,3,38
Publishing & Printing,Wiley Publishing,Somerset,New Jersey,USA,40.497604,-74.4884868,7,12,-5,-5,2.2,20,60,null,null,null,null,2.,33,67,3,3,33
Business Services,Alorica,Irvine,California,USA,33.6845673,-117.8265049,0,12,-5,-5,2.2,40,40,null,null,null,null,,50,75,3,3,25
Technology,Everyday Health,New York,New York,USA,40.7127753,-74.0059728,10,-5,-5,-5,2.3,0,100,TRUE,null,null,TRUE,52,0,50,3,4,0
Natural Resources,DuPont,Wilmington,Delaware,USA,39.7390721,-75.5397878,6,18,1,-5,2.3,25,25,TRUE,null,null,TRUE,3,0,0,3,3,0
"Defense, Air, & Space",BAE Systems,Farmborough,,United Kingdom,51.3437934,-2.4895327,12,20,1,26,2.3,11,17,null,null,null,null,,0,0,3,4,20
Technology,Allscripts,Chicago,Illinois,USA,41.8781136,-87.6297982,6,-5,-5,-5,2.3,67,67,null,null,null,null,4,0,67,3,4,33
Electronics,Broadcom Limited,Irvine,California,USA,33.6845673,-117.8265049,-5,12,-5,-5,2.3,33,33,TRUE,null,TRUE,TRUE,2,19,19,,null,19
Healthcare,Providence Health & Services,Renton,Washington,USA,47.4828776,-122.2170661,0,12,-5,-5,2.3,67,33,null,null,null,FALSE,,25,50,3,3,25
Public Relations,Ketchum,New York,New York,USA,40.7127753,-74.0059728,1,-5,-5,-5,2.3,33,67,null,null,null,null,2,29,29,,null,29
Lifestyle,Sephora,San Francisco,California,USA,37.7749295,-122.4194155,6,6,-5,-5,2.3,36,18,null,null,null,null,,30,20,3,3,0
Lifestyle,"Coty, Inc.",New York,New York,USA,40.7127753,-74.0059728,12,0,-5,-5,2.3,33,33,null,null,null,null,,33,0,2,3,33
Colleges & Universities,Weill Cornell Medicine,New York,New York,USA,40.7127753,-74.0059728,6,-5,-5,-5,2.3,33,67,null,null,TRUE,null,6,33,67,3,3,33
Natural Resources,Exelon Corporation,Chicago,Illinois,USA,41.8781136,-87.6297982,16,6,8,-5,2.3,33,33,null,FALSE,null,#VALUE!,3,33,33,2,3,67
Legal Services,Davis Polk & Wardwell LLP,New York,New York,USA,40.7127753,-74.0059728,18,7,-5,-5,2.3,0,50,TRUE,null,null,null,,50,0,1,3,0
Healthcare,Northwestern Memorial Healthcare Corpora...,Chicago,Illinois,USA,41.8781136,-87.6297982,6,6,0,-5,2.3,33,33,TRUE,null,null,TRUE,3,33,0,3,3,0
Business Services,ManpowerGroup Inc.,Milwaukee,Wisconsin,USA,43.0389025,-87.9064736,3,12,-5,-5,2.4,60,40,null,null,null,null,,0,25,3,3,0
Telecommunications,"CenturyLink, Inc.",Monroe,Louisiana,USA,32.5093109,-92.1193012,8,-5,-5,-5,2.4,56,33,null,null,null,null,3 ,25,0,3,3,50
Financial Services,Raymond James Financial,St Petersburg,Florida,USA,27.7676008,-82.6402915,8,-5,3,-5,2.4,60,40,null,null,null,null,2,25,50,2,3,0
Information Services,Wolters Kluwer,Waltham,Massachusetts,USA,42.3764852,-71.2356113,6,6,-5,-5,2.4,38,25,null,null,null,null,,29,43,3,4,14
Retail,"Ross Stores, Inc.",Dublin,California,USA,37.7021521,-121.9357918,-5,12,-5,-5,2.5,75,25,TRUE,null,TRUE,TRUE,2,0,50,3,3,0
Technology,Marketo,San Mateo,California,USA,37.5629917,-122.3255254,16,-5,-5,-5,2.5,0,50,TRUE,null,null,FALSE,16,0,50,4,4,100
Technology,"Amazon Web Services, Inc.",Seattle,Washington,USA,47.6062095,-122.3320708,16,-5,-5,-5,2.5,0,50,null,null,TRUE,null,4 ,0,50,3,4,0
Technology,Infosys Ltd.,Bengaluru,,India,12.9715987,77.5945627,0,12,0,-5,2.5,75,50,null,null,null,FALSE,,0,33,4,4,0
Business Services,UBM plc,London,,United Kingdom,51.5073509,-0.1277583,2,-5,2,-5,2.5,50,100,null,null,null,TRUE,3 ,0,100,4,3,0
Healthcare,Varian Medical Systems,Palo Alto,California,USA,37.4418834,-122.1430195,4,-5,-5,-5,2.5,0,100,null,null,null,null,4,0,0,4,3,0
Advertising and Creative Services,Possible,Seattle,Washington,USA,47.6062095,-122.3320708,6,-5,3,-5,2.5,100,50,null,null,null,null,,0,75,4,4,50
Technology,Zenefits,San Francisco,California,USA,37.7749295,-122.4194155,12,-5,-5,-5,2.5,100,50,null,null,null,null,52,0,50,5,4,50
Financial Services,William O'Neil + Co. Incorporated,Los Angeles,California,USA,34.0522342,-118.2436849,0,12,-5,-5,2.5,50,50,null,null,FALSE,null,3,0,100,4,3,0
Media,New York Times,Chicago,Illinois,USA,41.8781136,-87.6297982,16,6,10,6,2.5,25,25,null,null,null,null,2.,0,50,3,3,50
Media,National Geographic,Washington,DC,USA,38.9071923,-77.0368707,12,-5,-5,-5,2.5,100,100,null,null,null,null,3,0,0,3,3,0
Hospitality,Chipotle Mexican Grill,Denver,Colorado,USA,39.7392358,-104.990251,2,10,-5,-5,2.5,25,25,null,null,null,null,,0,0,2,3,0
Retail,Athleta,San Francisco,California,USA,37.7749295,-122.4194155,6,6,-5,-5,2.5,100,100,TRUE,null,TRUE,TRUE,,0,50,4,3,50
Transportation,UPS,Atlanta,Georgia,USA,33.7489954,-84.3879824,6,12,0,-5,2.5,24,32,null,FALSE,null,#VALUE!,2,7,5,2,2,5
Technology,Allegion PLC,Golden,Colorado,USA,39.755543,-105.2210997,6,6,-5,-5,2.5,50,50,TRUE,null,FALSE,TRUE,,15,15,,null,15
Technology,Rock Solid Technologies,San Juan,Puerto Rico,USA,18.4655394,-66.1057355,8,-5,-5,-5,2.5,0,50,null,null,null,null,2,15,15,,null,15
Technology,ADT Corporation,Boca Raton,Florida,USA,26.3683064,-80.1289321,0,12,-5,-5,2.5,50,50,null,null,null,TRUE,,15,15,,null,15
Colleges & Universities,Loyola University Chicago,Chicago,University,USA,41.7886079,-87.5987133,6,6,-5,-5,2.5,50,50,TRUE,null,TRUE,TRUE,,20,20,,null,20
Consumer Goods,"Kraft Foods Group, Inc.",Northfield,Illinois,USA,42.09975,-87.7808967,6,6,-5,-5,2.5,75,25,null,null,null,null,,20,20,,null,20
Colleges & Universities,Nova Southeastern University,Fort Lauderdale,Florida,USA,26.1224386,-80.1373174,0,-5,-5,-5,2.5,0,50,null,null,TRUE,null,0,20,20,,null,20
Financial Services,United Services Automobile Association,San Antonio,Texas,USA,29.4241219,-98.4936282,12,5,12,-5,2.5,100,50,null,TRUE,null,#VALUE!,2.,21,21,,null,21
Media,Public Broadcasting Service,Arlington,Virginia,USA,38.8816208,-77.0909809,6,-5,-5,-5,2.5,100,50,TRUE,null,null,FALSE,6,22,22,,null,22
Media,MTV Networks,New York,New York,USA,40.7127753,-74.0059728,10,-5,-5,-5,2.5,50,50,null,null,null,null,2,22,22,,null,22
Consumer Goods,The Wonderful Company,Los Angeles,California,USA,34.0522342,-118.2436849,6,-5,-5,-5,2.5,0,50,null,null,FALSE,null,3,25,0,3,4,25
Business Services,AlliedBarton Security Services,Conshohocken,Pennsylvania,USA,40.0792766,-75.3015714,0,4,-5,-5,2.5,75,75,TRUE,null,null,TRUE,,26,26,,null,26
Transportation,Ryder Transportation,Miami,Florida,USA,25.7616798,-80.1917902,6,12,0,0,2.5,50,25,TRUE,null,null,null,2.,33,33,2,2,0
Advertising and Creative Services,Ipsos,Paris,,France,48.856614,2.3522219,6,6,-5,-5,2.5,50,50,TRUE,null,TRUE,TRUE,,50,0,4,3,0
Healthcare,BAYADA,Moorestown,New Jersey,USA,39.9688817,-74.948886,5,-5,-5,-5,2.5,50,50,TRUE,null,TRUE,TRUE,1,50,0,1,3,0
