classification,region,country,countryAbbrev,note,matLeave,matLeavePay,matLeavePayText,patLeave,patLeavePay,patLeavePayText,parentalLeave,parentalLeavePay,parentalLeavePayText,source,,,,,
developing,Africa,Eritrea,-,,9,,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Guinea-Bissau,-,,9,100%,,0,0%,,0,0%,,"Mixed (social security flat rate, employer pays the difference to equal wage)",,,,,
developing,Africa,Sao Tome and Principe,-,,9,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Asia and Pacific,Brunei Darussalam,-,100% pay for 8 weeks,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Malaysia,-,,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Bahrain,-,100% pay for 45 days,9,100%,,0,0%,,26,0%,,Employer liability,,,,,
developing,Asia and Pacific,Iraq,-,"52 weeks unpaid parental leave, mothers only.",9,100%,,0,0%,,52,0%,,Employer liability,,,,,
developing,Asia and Pacific,Yemen,-,,9,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Jordan,-,,10,100%,,0,0%,,52,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Kuwait,-,,10,100%,,0,0%,,17,0%,,Employer liability,,,,,
developing,Asia and Pacific,Saudi Arabia,-,1 day paternal leave at 100% pay.,10,100%,,.1,100%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Myanmar,-,,12,67%,,1,100%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Fiji,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,India,-,,12,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Kiribati,-,,12,25%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Pakistan,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Solomon Islands,-,,12,25%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Sri Lanka,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Vanuatu,-,,12,67%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Cambodia,-,,13,50%,,1.5,100%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Afghanistan,-,90 days,13,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Iran,-,,13,67%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Laos,-,,13,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Thailand,-,,13,100%,,0,0%,,0,0%,,"Mixed (2/3 employer, 1/3 social insurance)",,,,,
developing,Asia and Pacific,Republic of Korea,-,52 weeks of parental leave for either parent at 40% pay.,13,100%,,.5,0%,,52,40%,,"Mixed (2/3 employer, 1/3 social insurance)",,,,,
developing,Asia and Pacific,Indonesia,-,,13,100%,,.3,0%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,China,-,,14,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Israel,-,,14,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Bangladesh,-,,16,100%,,1.5,100%,,0,0%,,Employer liability,,,,,
developing,Asia and Pacific,Singapore,-,,16,100%,,1,100%,,0,0%,,"Mixed (8 weeks employer, 8 weeks public funds)",,,,,
developing,Asia and Pacific,Syrian Arab Republic,-,"52 weeks unpaid parental leave, mothers only.",17,100%,,1,0%,,52,0%,,Employer liability,,,,,
developing,Asia and Pacific,Mongolia,-,156 weeks of parental leave for either parent,17,70%,,0,0%,,156,0%,,Social security (social insurance),,,,,
developing,Asia and Pacific,Vietnam,-,,26,100%,,0,0%,,0,0%,,Social security (social insurance),,,,,
developing,Africa,Uganda,-,,10,100%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Burundi,-,,12,100%,,2,50%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Latin America and Caribbean,Ecuador,-,,12,100%,,2,100%,,0,0%,,"Mixed (maternity: 75% social security, 25% employer; paternity: employer liability)",,,,,
developing,Africa,Mauritius,-,,12,100%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Rwanda,-,"12 weeks maternal leave at 100% pay for 6 weeks, 20% for remainder.",12,100%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Tanzania,-,,12,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Latin America and Caribbean,Dominican Republic,-,,12,100%,,1,100%,,0,0%,,"Mixed (maternity: 50% social security, 50% employer; paternity: employer liability)",,,,,
developing,Latin America and Caribbean,El Salvador,-,,12,75%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Latin America and Caribbean,Guatemala,-,,12,100%,,1,100%,,0,0%,,"Mixed (maternity: 2/3 social security, 1/3 employer; paternity: employer)",,,,,
developing,Latin America and Caribbean,Mexico,-,,12,100%,,1,100%,,0,0%,,Social security,,,,,
developing,Latin America and Caribbean,Paraguay,-,50% pay for 9 weeks.,12,50%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Latin America and Caribbean,Uruguay,-,,12,100%,,1,100%,,,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Botswana,-,,12,50%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Equatorial Guinea,-,,12,75%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Gambia,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Ghana,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Lesotho,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Namibia,-,,12,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Nigeria,-,,12,50%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Sierra Leone,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Swaziland,-,"2 weeks maternal leave at 100% pay, unpaid remainder.",12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Zambia,-,,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Barbados,-,,12,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Latin America and Caribbean,Haiti,-,100% pay for 6 weeks.,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Honduras,-,100% pay for 10 weeks.,12,100%,,0,0%,,0,0%,,"Mixed (2/3 social security, 1/3 employer)",,,,,
developing,Latin America and Caribbean,Jamaica,-,100% pay for 8 weeks.,12,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Nicaragua,-,,12,100%,,0,0%,,0,0%,,"Mixed (60% social security, 40% employer)",,,,,
developing,Africa,Kenya,-,,13,100%,,2,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Ethiopia,-,,13,100%,,1,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Argentina,-,,13,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Latin America and Caribbean,Bahamas,-,"100% pay for 12 weeks, 66.7% for 1.",13,100%,,1,0%,,0,0%,,Mixed (2/3 social security for 13 weeks; 1/3 employer for 12 weeks),,,,,
developing,Latin America and Caribbean,Peru,-,,13,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Angola,-,,13,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Egypt,-,"13 weeks paid maternal leave, 104 weeks total",13,100%,,0,0%,,104,0%,,Mixed (75% social security; 25% employer liability),,,,,
developing,Latin America and Caribbean,Barbados,-,"100% pay for 6 weeks, 60% for 7.",13,100%,,0,0%,,0,0%,,Mixed (60% social security all 13 weeks plus 40% from employer for first 6 weeks),,,,,
developing,Latin America and Caribbean,Bolivia,-,,13,95%,,0,0%,,0,0%,,Social security,,,,,Option 1: 70% (up to maximum $975 per week)[72]Option 2: 75% (up to maximum $1046 per week)
developing,Latin America and Caribbean,Guyana,-,,13,70%,,0,0%,,0,0%,,Social security,,,,,
developing,Latin America and Caribbean,Trinidad and Tobago,-,,13,100%,,0,0%,,0,0%,,"Mixed (2/3 social security, 1/3 employer)",,,,,
developing,Africa,Benin,-,,14,100%,,2,100%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Africa,Burkina Faso,-,,14,100%,,2,100%,,52,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Cameroon,-,,14,100%,,2,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Central African Republic,-,,14,50%,,2,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Chad,-,,14,100%,,2,100%,,52,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Comoros,-,,14,100%,,2,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Côte d’Ivoire,-,,14,100%,,2,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Gabon,-,,14,100%,,2,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Madagascar,-,,14,100%,,2,100%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Africa,Mauritania,-,,14,100%,,2,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Togo,-,,14,100%,,2,100%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Africa,Algeria,-,,14,100%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Africa,Democratic Republic of the Congo,-,,14,67%,,1,100%,,0,0%,,Employer liability,,,,,
developing,Africa,Djibouti,-,,14,100%,,1,100%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Africa,Libya,-,Maternal leave at 50% pay or 100% pay for self-employed women.,14,50%,,1,0%,,0,0%,,Employer (social security for self-employed),,,,,
developing,Africa,Mali,-,,14,100%,,1,100%,,0,0%,,Social security,,,,,
developing,Africa,Morocco,-,"14 weeks paid maternal leave, 52 total.",14,100%,,1,100%,,52,0%,,Social security,,,,,
developing,Latin America and Caribbean,Colombia,-,,14,100%,,1,100%,,0,0%,,Social security,,,,,
developing,Africa,Guinea,-,"14 weeks paid maternal leave, 38 weeks total.",14,100%,,0,0%,,38,0%,,Mixed (50% social insurance; 50% employer),,,,,
developing,Africa,Niger,-,,14,100%,,0,0%,,0,0%,,Mixed (50% social insurance; 50% employer),,,,,
developing,Africa,Senegal,-,,14,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Somalia,-,,14,50%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Africa,Zimbabwe,-,,14,100%,,0,0%,,0,0%,,Employer liability,,,,,
developing,Latin America and Caribbean,Belize,-,,14,100%,,0,0%,,0,0%,,Social security,,,,,Option 1: 18[72]Option 2: 15
developing,Latin America and Caribbean,Panama,-,,14,100%,,0,0%,,0,0%,,Social security,,,,,
developing,Africa,Congo,-,,15,100%,,2,100%,,0,0%,,Mixed (maternity: 50% social insurance; 50% employer. Paternity: 100% employer),,,,,
developing,Asia and Pacific,Turkey,-,,16,67%,,0,0%,,26,0%,,Social security,,,,,
developing,Africa,South Africa,-,,17,60%,,1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
developing,Latin America and Caribbean,Brazil,-,,17,100%,,<1,100%,,0,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,Option 1: 5[72]Option 2: 3
developing,Latin America and Caribbean,Costa Rica,-,,17,100%,,0,0%,,0,0%,,"Mixed (50% social security, 50% employer)",,,,,
developing,Latin America and Caribbean,Cuba,-,"18 weeks paid maternal leave, 39 weeks total parental leave",18,100%,,0,0%,,39,60%,,Social security,,,,,
developing,Latin America and Caribbean,Chile,-,,24,100%,,1,100%,,12,100%,,Social security,,,,,
developing,Latin America and Caribbean,Venezuela,-,,26,100%,,2,100%,,0,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Azerbaijan,-,"14 calendar days unpaid paternal elave, 156 weeks total parental leave for actual caregiver with a flat rate benefit.",18,100%,,2,0%,,156,0%,,Social security (social insurance),,,,,
transitioning,Commonwealth of Independent States and Georgia,Turkmenistan,-,,16,100%,,0,0%,,,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Azerbaijan,-,156 weeks parental leave at a flat rate benefit.,18,100%,,2,0%,,156,a flat rate,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Kazakhstan,-,,18,100%,,1,0%,,156,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Georgia,-,,18,100%,,0,0%,,50,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Kyrgyzstan,-,18 weeks maternal leave at 7x minimum wage,18,100%,,0,0%,,,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Belarus,-,156 weeks parental leave at 80% of minimum wage.,18,100%,,0,0%,,156,80%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Moldova,-,,18,100%,,0,0%,,156,50%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Ukraine,-,,18,100%,,0,0%,,156,a flat rate,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Uzbekistan,-,,18,100%,,0,0%,,156,20%,,Social security,,,,,
transitioning,Europe,Serbia,-,,20,100%,,1,100%,,52,100%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
transitioning,Commonwealth of Independent States and Georgia,Armenia,-,156 weeks unpaid parental leave.,20,100%,,0,0%,,156,0%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Russia,-,,20,100%,,0,0%,,156,40%,,Social security,,,,,
transitioning,Commonwealth of Independent States and Georgia,Tajikstan,-,,20,100%,,0,0%,,156,a flat rate,,Social security,,,,,
transitioning,Europe,Macedonia,-,,39,100%,,0,0%,,0,0%,,Social security,,,,,
transitioning,Europe,Bosnia and Herzegovina,-,50-100% pay.,52,50%,,1,100%,,156,0%,,Mixed (Social security maternity leave; employer liability paternity leave),,,,,
transitioning,Europe,Montenegro,-,,52,100%,,0,0%,,,0%,,Social security,,,,,
transitioning,Europe,Albania,-,"80% pay for 21 weeks, 50% for remainder.",52,80%,,0,0%,,2,100%,,Mixed (Social security for maternity leave; employer liability for parental leave),,,,,
